ts	phase	decision	why	evidence	result
2026-09-03T20:12:35Z	frame	Treat all phases as benchmark, vertical slice, learning missions, and integration boundary	These were the phases previously defined in the product reevaluation and the user asked to continue through all of them	PR #1, commit 900d47a	open
2026-09-03T20:20:56Z	architecture	Replace vendored OpenCode monorepo with published runtime and SDK dependency	The coding loop is commodity infrastructure; owning a fork preserves unrelated code and makes upgrades, safety boundaries, and evaluation harder	OpenCode current SDK/runtime API inspection; branch 900d47a	migration in progress
2026-09-03T20:35:40Z	architecture	Reject production startup with the local directory workspace provider	A temporary directory is not a sandbox, so production must fail closed until a remote isolation provider is wired	packages/studio-server/src/index.ts; docs/SAFETY.md	production guard added
2026-09-03T20:35:40Z	phases	Implemented phases 0 through 3 in the replacement tree	The user asked to continue through the previously defined benchmark, vertical-slice, learning-mission, and integration phases	evals/; packages/web/; packages/studio-server/; .opencode/; docs/PHASES.md	ready for repository publication and CI
2026-09-03T20:45:51Z	publication	Split repository reset from workflow replacement	GitHub Actions token had contents write but no workflows permission; preserve workflows during the reset and replace them afterward through the authenticated GitHub connector	Actions run 33803989997 job 100809936215	reset archive reconstructed; push rejected only for workflow permission
2026-09-03T20:47:08Z	publication	Published slim repository and replaced inherited workflow set	The reset action succeeded once workflows were preserved; the authenticated GitHub connector then had the authority to replace workflows atomically	commit 3bf693e, commit a0ae561	slim tree published; single CI workflow installed
2026-09-03T20:48:16Z	verification	Aligned Vite dev port with Playwright	The browser regression harness expected localhost:3000 while Vite would otherwise use 5173	packages/web/vite.config.ts, commit b75a063	browser harness now targets the actual dev server
2026-09-03T20:49:01Z	verification	Normalized unknown SDK error payloads in eval runner	TypeScript correctly rejected passing an unknown SDK payload directly to Error; preserve SDK uncertainty at the boundary	CI run 33804273372; evals/run.ts; commit 7c83b86	first typecheck blocker repaired
2026-09-03T20:51:04Z	verification	Added an explicit preview-output type guard in the studio state reducer	The SDK tool input is a union; narrowing prevents unsafe property access without weakening types	commit 814818264eeddbfa491db53d7c051fc3109fe740	web typecheck blocker repaired
2026-09-03T20:53:06Z	verification	Corrected effect-gateway tests to assert policy denials as rejected executions	Authorization failures are request-level denials while executor failures produce effect receipts; the tests were asserting the wrong contract	commit d6de059b5fcbc37aca896502beb996d1079757c0	effect policy tests aligned with fail-closed API
2026-09-03T20:54:37Z	verification	Scoped web unit tests to the test directory and left e2e specs to Playwright	Bun test auto-discovery was loading Playwright specs outside the Playwright runner	commit 40b2b3a06672222f140e4de721e28e22ab3b5864	unit and browser runners separated
2026-09-03T20:56:10Z	verification	Installed Playwright browsers from the pinned web workspace in CI	Root bunx resolved a newer Playwright revision than @playwright/test 1.55.0, so the downloaded executable did not match the test runner	commit 1ea57bfcb2877b13687f4dee5570bf087eca96ae	browser revision aligned with pinned runner
2026-09-03T20:59:31Z	verification	instrumented launcher e2e with browser render diagnostics and moved production build ahead of browser tests	missing launcher DOM should expose the underlying client error rather than be misclassified as a selector failure	PR #1 commit 70c5a6a	CI rerun 33805422835 in progress
2026-09-03T21:00:16Z	web	switched browser runtime import from @opencode-ai/sdk root to @opencode-ai/sdk/client	production build proved the package root pulled Node child_process helpers into Vite and caused the blank launcher	commit 2b3eb95; OpenCode 1.18.27 exports ./client	CI rerun pending
2026-09-03T21:01:17Z	verification	all roadmap gates passed on the slim independent repository	required proof before handoff: install, typecheck, production build, unit/eval tests, and browser geometry test	GitHub Actions run 33805515741 job 100814920957	tests green
2026-09-03T21:01:27Z	audit	audited the decision trail against the visible GitHub and CI run context	no active-workspace agent-transcripts directory was available, so the skill requires auditing against visible context and stating that limitation	decisions.tsv; GitHub Actions run 33805515741	all rows map to observed actions; transcript unavailable
2026-09-03T21:04:03Z	housekeeping	removed a stray NONEXISTENT file created by an accidental contents-API housekeeping call	the file was unrelated to the implementation and was removed immediately before final verification	commits b2c079b and bdb123d	reverted cleanly; final CI required
